rank certified false beats
1 26.86 0.000 0
2 28.49 1.475 4
3 30.34 0.000 0
4 35.56 0.000 8
5 39.16 0.000 5
6 40.62 1.820 6
7 41.95 0.000 0
8 45.66 0.000 3
9 50.17 0.000 13
10 51.55 0.000 2
11 52.23 0.000 1
12 54.81 0.060 2
13 55.63 0.000 8
14 56.56 0.000 0
15 58.12 0.000 1
16 59.59 0.000 0
17 59.73 0.015 3
18 60.17 0.000 1
19 60.45 0.160 6
20 60.70 0.000 0
21 60.78 0.000 1
22 63.41 0.000 0
23 63.83 0.000 0
24 64.45 0.000 1
25 64.66 0.000 0
26 64.68 0.000 1
27 65.57 0.000 0
28 65.77 0.000 0
29 66.00 0.000 1
30 66.19 0.000 0
31 67.58 0.000 1
32 68.18 0.000 5
33 68.43 0.000 0
34 69.12 0.000 1
35 69.91 0.000 0
36 70.50 0.000 2
37 70.76 0.000 0
38 71.15 0.000 0
39 71.58 0.000 0
40 71.72 0.000 0
41 72.56 0.000 1
42 72.87 0.000 0
43 73.15 0.000 0
44 74.27 0.000 0
45 74.76 0.860 2
46 74.94 0.000 0
47 75.22 0.000 0
48 75.55 0.000 1
