frac suture sweep random11 local11
0.0208 0.0000 0.0000 0.1743 0.4658
0.0417 0.0000 0.0000 0.1795 0.4677
0.0625 0.0000 0.0000 0.1809 0.4855
0.0833 0.0000 0.0000 0.1811 0.5093
0.1042 0.0000 0.0000 0.1923 0.5273
0.1250 0.0000 0.0000 0.1951 0.5689
0.1458 0.0000 0.0000 0.2127 0.5711
0.1667 0.0000 0.0000 0.2158 0.5975
0.1875 0.0000 0.0000 0.2391 0.6398
0.2083 0.0000 0.0000 0.2449 0.6433
0.2292 0.0000 0.0000 0.2454 0.6463
0.2500 0.0000 0.0000 0.2511 0.6740
0.2708 0.0000 0.0000 0.2618 0.6865
0.2917 0.0000 0.0000 0.2661 0.7006
0.3125 0.0000 0.0000 0.2785 0.7061
0.3333 0.0000 0.0000 0.2851 0.7152
0.3542 0.0000 0.0000 0.2900 0.7218
0.3750 0.0000 0.0000 0.2928 0.7219
0.3958 0.0000 0.0000 0.2984 0.7343
0.4167 0.0000 0.0000 0.3164 0.7508
0.4375 0.0000 0.0000 0.3256 0.7528
0.4583 0.0000 0.0000 0.3263 0.8142
0.4792 0.0000 0.0000 0.3278 0.8188
0.5000 0.0000 0.0000 0.3405 0.8253
0.5208 0.0000 0.0000 0.3442 0.8397
0.5417 0.0000 0.0000 0.3468 0.8404
0.5625 0.0000 0.0000 0.3643 0.8515
0.5833 0.0000 0.0000 0.3643 0.8535
0.6042 0.0000 0.0000 0.3664 0.9022
0.6250 0.0000 0.0000 0.3878 0.9094
0.6458 0.0000 0.0000 0.3963 0.9279
0.6667 0.0000 0.0000 0.4020 0.9335
0.6875 0.0000 0.0000 0.4211 0.9526
0.7083 0.0000 0.0000 0.4280 0.9611
0.7292 0.0000 0.0000 0.4348 0.9663
0.7500 0.0000 0.0000 0.4397 0.9686
0.7708 0.0000 0.0000 0.4498 0.9766
0.7917 0.0000 0.0000 0.4588 0.9836
0.8125 0.0000 0.0000 0.4680 0.9901
0.8333 0.0000 0.0000 0.4953 0.9945
0.8542 0.0000 0.0000 0.5175 1.0245
0.8750 0.0000 0.0000 0.5303 1.0356
0.8958 0.0000 0.0000 0.5385 1.0876
0.9167 0.0000 0.0000 0.5456 1.1461
0.9375 0.0081 0.0000 0.5501 1.1495
0.9583 0.0136 0.0081 0.5842 1.1880
0.9792 0.0645 0.0136 0.6009 1.2632
1.0000 0.5517 0.0645 0.8462 1.3835
