task lang
0.014699 -0.036569
0.206962 0.041848
0.123497 0.045886
0.085047 0.147861
0.081122 -0.026868
0.108426 0.020312
0.300689 0.098728
0.217224 0.102767
0.178773 0.204742
0.174849 0.030013
0.029278 0.001796
-0.188628 0.005220
-0.038651 -0.015172
0.035096 -0.013535
0.143935 -0.033372
0.118436 -0.040588
0.192263 0.078416
0.108798 0.082455
0.070347 0.184430
0.066423 0.009701
-0.079148 -0.018516
-0.297054 -0.015092
-0.147077 -0.035484
-0.073330 -0.033847
-0.083465 0.004039
-0.121916 0.106013
-0.038451 0.101975
-0.145571 -0.028216
-0.363477 -0.024792
-0.213500 -0.045185
-0.139753 -0.043548
-0.217906 0.003424
-0.067929 -0.016968
0.005818 -0.015331
0.114657 -0.035169
0.089158 -0.042384
0.149977 -0.020393
0.223724 -0.018756
0.332563 -0.038593
0.307064 -0.045809
0.073747 0.001637
0.182586 -0.018200
0.157087 -0.025416
0.108839 -0.019837
0.083340 -0.027053
-0.025499 -0.007216
