task lang
-0.093726 -0.056881
-0.064448 -0.055084
-0.282355 -0.051660
-0.132377 -0.072053
-0.058631 -0.070416
0.050208 -0.090253
0.024709 -0.097469
0.035509 -0.053684
0.010010 -0.060900
-0.125840 -0.068716
-0.271411 -0.096932
-0.489317 -0.093508
-0.339340 -0.113901
-0.265593 -0.112264
-0.156754 -0.132101
-0.182253 -0.139317
-0.042375 -0.072754
-0.187946 -0.100971
-0.405852 -0.097547
-0.255875 -0.117939
-0.182128 -0.116302
-0.073289 -0.136139
-0.098788 -0.143355
-0.003924 -0.174729
-0.149495 -0.202946
-0.367401 -0.199521
-0.217424 -0.219914
-0.143677 -0.218277
-0.034838 -0.238114
-0.060337 -0.245330
-0.030914 -0.063385
-0.056413 -0.070601
